# Sample CSV file for loading questions into the Quiz system
# Format: Type,QuestionID,QuestionText,Marks,CorrectAnswer,Option1,Option2,Option3,Option4

# MCQ Questions (0-based correct option index)
MCQ,Q1,What is 2 + 2?,5,1,3,4,5,6
MCQ,Q2,What is the capital of France?,4,0,Paris,London,Berlin,Madrid

# True/False Questions
TrueFalse,Q3,The Earth is round,2,true
TrueFalse,Q4,The Moon is bigger than Earth,2,false

# Fill in the Blank Questions
FillInTheBlank,Q5,The capital of Japan is ___,3,Tokyo
FillInTheBlank,Q6,The largest planet in our solar system is ___,3,Jupiter

# Numerical Questions (with tolerance)
Numerical,Q7,What is the value of pi (approximate)?,4,3.14159,0.01
Numerical,Q8,What is 100 divided by 4?,3,25.0,0.1
